linux,DPDK,eBPF
0.543,0.979,0.602
0.552,1.02,0.625
0.554,0.865,0.610
0.472,1.06,0.792
0.494,0.971,0.509
0.535,0.919,0.514
0.529,0.867,0.592
0.565,1.04,0.569
0.504,1.03,0.536
0.540,0.922,0.593
0.530,0.918,0.562
0.547,1.02,0.602
0.560,0.933,0.598
0.490,1.06,0.613
0.551,1.03,0.618
0.549,0.934,0.634
0.490,1.01,0.536
0.493,1.02,0.515
0.488,1.03,0.526
0.409,0.924,0.522
0.404,1.04,0.532
0.534,1.03,0.681
0.447,0.862,0.527
0.472,0.915,0.531
0.482,1.03,0.531
0.545,0.858,0.512
0.537,1.15,0.573
0.551,1.03,0.530
0.485,0.924,0.510
0.511,0.872,0.606
0.533,0.914,0.618
0.535,0.897,0.564
0.452,0.984,0.570
0.470,0.968,0.518
0.495,0.992,0.571
0.547,0.869,0.821
0.437,1.00,0.525
0.553,0.991,0.535
0.479,0.909,0.542
0.550,0.929,0.570
0.534,1.04,0.523
0.536,1.02,0.531
0.554,0.942,0.539
0.501,0.925,0.523
0.533,1.03,1.21
0.534,0.870,0.551
0.412,1.13,0.615
0.421,0.976,0.626
0.477,0.888,0.616
0.496,1.05,0.562
0.451,1.03,0.564
0.441,0.910,0.514
0.565,0.949,0.522
0.414,1.04,0.620
0.422,0.976,0.580
0.538,0.936,0.511
0.541,0.944,0.524
0.535,1.03,0.524
0.476,0.885,0.573
0.537,0.996,0.533
0.541,1.05,0.578
0.532,2.05,0.553
0.551,1.08,0.625
0.479,0.864,0.559
0.548,0.930,0.613
0.536,0.908,0.602
0.538,1.03,0.612
0.474,0.874,0.586
0.482,1.05,0.522
0.538,1.01,0.535
0.546,0.947,0.540
0.544,0.930,0.565
0.545,1.06,0.592
0.484,0.968,0.524
0.542,0.938,0.523
0.542,0.859,0.524
0.406,1.04,0.637
0.421,0.889,0.562
0.483,1.11,0.643
0.537,0.965,0.625
0.410,0.885,0.618
0.533,0.939,0.582
0.563,1.08,0.522
0.478,0.923,0.551
0.494,0.916,0.516
0.548,0.887,0.506
0.534,1.04,0.572
0.440,0.875,0.596
0.472,1.05,0.619
0.486,1.03,0.620
0.534,0.890,0.656
0.542,1.11,0.508
0.562,1.04,0.518
0.483,0.913,0.515
0.489,0.937,0.566
0.438,1.03,0.951
0.533,0.970,0.555
0.543,0.874,0.518
0.494,0.941,0.513
0.555,1.02,0.815
0.539,0.885,0.514
0.401,1.05,0.562
0.559,1.03,0.572
0.489,0.916,0.552
0.425,1.05,0.563
0.544,1.02,0.516
0.548,1.01,0.525
0.546,0.960,0.521
0.483,0.939,0.944
0.549,1.02,0.561
0.410,0.891,0.569
0.407,0.959,0.511
0.438,1.04,0.544
0.488,0.881,0.572
0.491,1.06,0.575
0.544,1.01,0.502
0.546,0.951,0.630
0.550,0.919,0.946
0.472,1.04,0.536
0.504,1.03,0.633
0.550,0.937,0.555
0.530,0.912,0.547
0.430,1.04,0.615
0.480,0.880,0.594
0.487,1.05,0.587
0.536,1.03,0.594
0.429,0.875,0.830
0.580,1.03,0.524
0.476,1.04,0.642
0.490,0.918,0.573
0.547,0.937,0.559
0.530,1.03,0.597
0.553,0.983,0.639
0.495,0.925,0.547
0.511,0.944,0.617
0.539,1.02,0.847
0.539,0.904,0.517
0.553,1.06,0.510
0.487,0.974,0.614
0.543,0.910,0.550
0.541,1.05,0.603
0.514,1.02,0.514
0.497,1.04,0.637
0.473,0.914,0.496
0.423,1.05,0.599
0.404,0.963,0.585
0.404,0.937,0.577
0.494,0.950,0.610
0.492,1.03,0.533
0.484,0.885,0.617
0.408,1.06,0.564
0.411,1.03,0.524
0.412,0.935,0.643
0.418,0.944,0.603
0.475,1.03,0.829
