bigflood,bigfloodDPDK,bigfloodeBPF,flood,floodDPDK,floodeBPF,ping,pingDPDK,pingeBPF
0.402,0.889,0.562,0.039,0.280,0.049,0.121,0.384,0.172
0.466,1.01,0.558,0.039,0.284,0.050,0.089,0.381,0.165
0.476,1.12,0.975,0.038,0.279,0.100,0.121,0.380,0.194
0.420,1.00,0.562,0.038,0.262,0.049,0.121,0.381,0.201
0.430,1.02,0.594,0.039,0.267,0.049,0.136,0.389,0.176
0.478,1.11,0.565,0.039,0.270,0.050,0.122,0.387,0.186
0.425,0.887,0.555,0.040,0.275,0.050,0.120,0.378,0.164
0.497,1.01,0.512,0.039,0.279,0.050,0.121,0.385,0.165
0.416,1.14,0.569,0.039,0.267,0.050,0.122,0.381,0.182
0.421,1.00,0.587,0.039,0.281,0.050,0.120,0.383,0.148
0.400,1.02,0.541,0.039,0.288,0.073,0.121,0.380,0.168
0.490,1.11,0.536,0.040,0.275,0.053,0.123,1.53,0.175
0.474,1.00,0.577,0.040,0.287,0.052,0.121,0.375,0.159
0.474,1.15,0.515,0.039,0.282,0.053,0.120,0.382,0.176
0.419,1.00,0.569,0.039,0.284,0.067,0.122,0.382,0.165
0.412,1.00,0.597,0.040,0.280,0.101,0.121,0.381,0.190
0.403,1.15,0.535,0.039,0.275,0.048,0.121,0.380,0.127
0.483,0.993,0.514,0.039,0.265,0.051,0.122,0.378,0.178
0.484,1.01,0.630,0.040,0.264,0.050,0.122,0.381,0.166
0.488,1.13,0.586,0.039,0.264,0.049,0.117,0.381,0.156
0.426,1.12,0.593,0.038,0.276,0.051,0.121,0.378,0.153
0.402,1.01,0.563,0.040,0.280,0.049,0.121,0.379,0.177
0.399,1.16,0.576,0.039,0.276,0.050,0.120,0.380,0.177
0.415,1.12,0.594,0.039,0.386,0.050,0.120,0.380,0.175
0.491,1.03,0.608,0.039,0.281,0.050,0.121,0.382,0.177
0.412,1.13,0.536,0.039,0.289,0.051,0.122,0.381,0.159
0.342,1.13,0.532,0.039,0.276,0.050,0.123,0.385,0.169
0.357,1.18,0.510,0.039,0.281,0.050,0.120,0.381,0.179
0.464,1.13,0.526,0.039,0.275,0.049,0.120,0.382,0.163
0.433,1.12,0.535,0.039,0.263,0.051,0.122,1.49,0.165
0.375,1.01,0.523,0.039,0.262,0.049,0.122,0.375,0.157
